"url","status","content_type","title_length","description_length","canonical","robots","h1_count","expired_jobposting","issues","error"
"https://www.searchsarkarinaukri.com/terms","200","text/html; charset=utf-8","38","144","https://www.searchsarkarinaukri.com/terms","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/cookies","200","text/html; charset=utf-8","35","133","https://www.searchsarkarinaukri.com/cookies","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/refund-policy","200","text/html; charset=utf-8","48","144","https://www.searchsarkarinaukri.com/refund-policy","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/editorial-policy","200","text/html; charset=utf-8","38","151","https://www.searchsarkarinaukri.com/editorial-policy","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/videos","200","text/html; charset=utf-8","58","153","https://www.searchsarkarinaukri.com/videos","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/age-calculator","200","text/html; charset=utf-8","50","144","https://www.searchsarkarinaukri.com/age-calculator","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/job-updates","200","text/html; charset=utf-8","45","150","https://www.searchsarkarinaukri.com/job-updates","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/category/central-government-jobs","200","text/html; charset=utf-8","50","154","https://www.searchsarkarinaukri.com/category/central-government-jobs","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/category/state-government-jobs","200","text/html; charset=utf-8","48","151","https://www.searchsarkarinaukri.com/category/state-government-jobs","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/category/banking-jobs","200","text/html; charset=utf-8","50","152","https://www.searchsarkarinaukri.com/category/banking-jobs","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/category/railway-jobs","200","text/html; charset=utf-8","50","153","https://www.searchsarkarinaukri.com/category/railway-jobs","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/category/defence-jobs","200","text/html; charset=utf-8","50","153","https://www.searchsarkarinaukri.com/category/defence-jobs","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/category/medical-jobs","200","text/html; charset=utf-8","50","148","https://www.searchsarkarinaukri.com/category/medical-jobs","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/category/education-research-jobs","200","text/html; charset=utf-8","51","154","https://www.searchsarkarinaukri.com/category/education-research-jobs","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/category/psu-jobs","200","text/html; charset=utf-8","46","153","https://www.searchsarkarinaukri.com/category/psu-jobs","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/category/police-jobs","200","text/html; charset=utf-8","59","152","https://www.searchsarkarinaukri.com/category/police-jobs","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/category/talathi-jobs","200","text/html; charset=utf-8","53","147","https://www.searchsarkarinaukri.com/category/talathi-jobs","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/category/zilla-parishad-jobs","200","text/html; charset=utf-8","48","150","https://www.searchsarkarinaukri.com/category/zilla-parishad-jobs","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/jobs/warehousing-development-and-regulatory-authority-wdra-wdra-consultant-ba--5048","200","text/html; charset=utf-8","56","134","https://www.searchsarkarinaukri.com/jobs/warehousing-development-and-regulatory-authority-wdra-wdra-consultant-ba--5048","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/jobs/indian-institute-of-technology-roorkee-iit-roorkee-iit-roorkee-junior-re--5047","200","text/html; charset=utf-8","57","149","https://www.searchsarkarinaukri.com/jobs/indian-institute-of-technology-roorkee-iit-roorkee-iit-roorkee-junior-re--5047","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/jobs/district-mineral-foundation-trust-dmft-chatra-dmft-chatra-specialist-ana--5046","200","text/html; charset=utf-8","54","153","https://www.searchsarkarinaukri.com/jobs/district-mineral-foundation-trust-dmft-chatra-dmft-chatra-specialist-ana--5046","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/jobs/odisha-adarsha-vidyalaya-garudabasa-oav-garudabasa-oav-garudabasa-assist--5045","200","text/html; charset=utf-8","57","144","https://www.searchsarkarinaukri.com/jobs/odisha-adarsha-vidyalaya-garudabasa-oav-garudabasa-oav-garudabasa-assist--5045","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/jobs/odisha-adarsha-vidyalaya-garudabasa-oav-garudabasa-oav-garudabasa-head-c--5044","200","text/html; charset=utf-8","57","151","https://www.searchsarkarinaukri.com/jobs/odisha-adarsha-vidyalaya-garudabasa-oav-garudabasa-oav-garudabasa-head-c--5044","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/jobs/odisha-adarsha-vidyalaya-garudabasa-oav-garudabasa-oav-garudabasa-chowki--5043","200","text/html; charset=utf-8","57","154","https://www.searchsarkarinaukri.com/jobs/odisha-adarsha-vidyalaya-garudabasa-oav-garudabasa-oav-garudabasa-chowki--5043","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/jobs/odisha-adarsha-vidyalaya-garudabasa-oav-garudabasa-oav-garudabasa-warden--5042","200","text/html; charset=utf-8","57","141","https://www.searchsarkarinaukri.com/jobs/odisha-adarsha-vidyalaya-garudabasa-oav-garudabasa-oav-garudabasa-warden--5042","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/jobs/national-brain-research-centre-nbrc-nbrc-account-assistant-recruitment-2--5041","200","text/html; charset=utf-8","51","151","https://www.searchsarkarinaukri.com/jobs/national-brain-research-centre-nbrc-nbrc-account-assistant-recruitment-2--5041","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/jobs/jawaharlal-nehru-university-jnu-jnu-advocate-recruitment-2026-apply-offl--5040","200","text/html; charset=utf-8","56","141","https://www.searchsarkarinaukri.com/jobs/jawaharlal-nehru-university-jnu-jnu-advocate-recruitment-2026-apply-offl--5040","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
