"target_url","status","example_source_url","example_anchor_text"
"https://www.searchsarkarinaukri.com/districts/across-24-states/uts","404","https://www.searchsarkarinaukri.com/jobs/sbi-junior-associate-customer-support-sales-recruitment-2026--4619","All government jobs in across 24 states/uts"
"https://www.searchsarkarinaukri.com/jobs-in-across-24-states/uts","404","https://www.searchsarkarinaukri.com/jobs/sbi-junior-associate-customer-support-sales-recruitment-2026--4619","across 24 states/uts sarkari naukri"
"https://www.searchsarkarinaukri.com/jobs-in-gondia","404","https://www.searchsarkarinaukri.com/jobs/gondia-education-society-gondia-education-society-2026--2027","gondia sarkari naukri"
"https://www.searchsarkarinaukri.com/jobs-in-nandurbar","404","https://www.searchsarkarinaukri.com/jobs/jnv-nandurbar-jnv-nandurbar-2026--2513","nandurbar sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/kochi-refinery","404","https://www.searchsarkarinaukri.com/jobs/bpcl-process-operator-chemical-recruitment-2026-kochi-apply-online-for-64-posts--3797","All government jobs in kochi refinery"
"https://www.searchsarkarinaukri.com/jobs-in-kochi-refinery","404","https://www.searchsarkarinaukri.com/jobs/bpcl-process-operator-chemical-recruitment-2026-kochi-apply-online-for-64-posts--3797","kochi refinery sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/mumbai-refinery","404","https://www.searchsarkarinaukri.com/jobs/bpcl-process-technician-chemical-recruitment-2026-mumbai-apply-online-for-60-posts--3796","All government jobs in mumbai refinery"
"https://www.searchsarkarinaukri.com/jobs-in-mumbai-refinery","404","https://www.searchsarkarinaukri.com/jobs/bpcl-process-technician-chemical-recruitment-2026-mumbai-apply-online-for-60-posts--3796","mumbai refinery sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/multiple-locations","404","https://www.searchsarkarinaukri.com/jobs/irel-deputy-manager-sales-recruitment-2026--4560","All government jobs in multiple locations"
"https://www.searchsarkarinaukri.com/jobs-in-multiple-locations","404","https://www.searchsarkarinaukri.com/jobs/irel-deputy-manager-sales-recruitment-2026--4560","multiple locations sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/tamil-nadu-/-kerala","404","https://www.searchsarkarinaukri.com/jobs/irel-assistant-manager-rajbhasha-recruitment-2026--4564","All government jobs in tamil nadu / kerala"
