"source_url","target_url","target_status","anchor_text","rel"
"https://www.searchsarkarinaukri.com/jobs/railway-recruitment-board-rrb-recruitment-notification-railway-recruitment-board-rrb-2026--4594","https://www.searchsarkarinaukri.com/jobs-in-all-districts","404","all districts sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/government-medical-college-gondia-government-medical-college-gondia-2026--4581","https://www.searchsarkarinaukri.com/jobs-in-gondia","404","gondia sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/jnv-nandurbar-jnv-nandurbar-2026--4580","https://www.searchsarkarinaukri.com/jobs-in-nandurbar","404","nandurbar sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/government-dental-college-and-hospital-jalgaon-government-dental-college-and-hospital-jalgaon-2026--4579","https://www.searchsarkarinaukri.com/jobs-in-jalgaon","404","jalgaon sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/nagar-parishad-morshi-amravati-nagar-parishad-morshi-amravati-2026--4577","https://www.searchsarkarinaukri.com/jobs-in-amravati","404","amravati sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/bpcl-technician-electrical-recruitment-2026--4569","https://www.searchsarkarinaukri.com/districts/kochi-refinery","404","All government jobs in kochi refinery",""
"https://www.searchsarkarinaukri.com/jobs/bpcl-technician-electrical-recruitment-2026--4569","https://www.searchsarkarinaukri.com/jobs-in-kochi-refinery","404","kochi refinery sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/nabfins-customer-service-officer-recruitment-2026--4570","https://www.searchsarkarinaukri.com/districts/bihar","404","All government jobs in bihar",""
"https://www.searchsarkarinaukri.com/jobs/bpcl-technician-operator-mechanical-recruitment-2026--4568","https://www.searchsarkarinaukri.com/districts/kochi-refinery","404","All government jobs in kochi refinery",""
"https://www.searchsarkarinaukri.com/jobs/bpcl-technician-operator-mechanical-recruitment-2026--4568","https://www.searchsarkarinaukri.com/jobs-in-kochi-refinery","404","kochi refinery sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/bpcl-process-technician-chemical-recruitment-2026--4566","https://www.searchsarkarinaukri.com/districts/mumbai-refinery","404","All government jobs in mumbai refinery",""
"https://www.searchsarkarinaukri.com/jobs/bpcl-process-technician-chemical-recruitment-2026--4566","https://www.searchsarkarinaukri.com/jobs-in-mumbai-refinery","404","mumbai refinery sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/bpcl-process-operator-operator-chemical-recruitment-2026--4567","https://www.searchsarkarinaukri.com/districts/kochi-refinery","404","All government jobs in kochi refinery",""
"https://www.searchsarkarinaukri.com/jobs/bpcl-process-operator-operator-chemical-recruitment-2026--4567","https://www.searchsarkarinaukri.com/jobs-in-kochi-refinery","404","kochi refinery sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/irel-assistant-manager-hrm-recruitment-2026--4563","https://www.searchsarkarinaukri.com/districts/multiple-locations","404","All government jobs in multiple locations",""
"https://www.searchsarkarinaukri.com/jobs/irel-assistant-manager-hrm-recruitment-2026--4563","https://www.searchsarkarinaukri.com/jobs-in-multiple-locations","404","multiple locations sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/irel-assistant-manager-rajbhasha-recruitment-2026--4564","https://www.searchsarkarinaukri.com/districts/tamil-nadu-/-kerala","404","All government jobs in tamil nadu / kerala",""
"https://www.searchsarkarinaukri.com/jobs/irel-assistant-manager-rajbhasha-recruitment-2026--4564","https://www.searchsarkarinaukri.com/jobs-in-tamil-nadu-/-kerala","404","tamil nadu / kerala sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/irel-deputy-manager-finance-recruitment-2026--4557","https://www.searchsarkarinaukri.com/districts/tamil-nadu-/-andhra-pradesh","404","All government jobs in tamil nadu / andhra pradesh",""
"https://www.searchsarkarinaukri.com/jobs/irel-deputy-manager-finance-recruitment-2026--4557","https://www.searchsarkarinaukri.com/jobs-in-tamil-nadu-/-andhra-pradesh","404","tamil nadu / andhra pradesh sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/irel-deputy-manager-sales-recruitment-2026--4560","https://www.searchsarkarinaukri.com/districts/multiple-locations","404","All government jobs in multiple locations",""
"https://www.searchsarkarinaukri.com/jobs/irel-deputy-manager-sales-recruitment-2026--4560","https://www.searchsarkarinaukri.com/jobs-in-multiple-locations","404","multiple locations sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/irel-senior-manager-medical-recruitment-2026--4553","https://www.searchsarkarinaukri.com/districts/odisha","404","All government jobs in odisha",""
"https://www.searchsarkarinaukri.com/jobs/irel-chief-manager-finance-recruitment-2026--4555","https://www.searchsarkarinaukri.com/districts/mumbai-/-tamil-nadu-/-kerala","404","All government jobs in mumbai / tamil nadu / kerala",""
"https://www.searchsarkarinaukri.com/jobs/irel-chief-manager-finance-recruitment-2026--4555","https://www.searchsarkarinaukri.com/jobs-in-mumbai-/-tamil-nadu-/-kerala","404","mumbai / tamil nadu / kerala sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/irel-manager-legal-recruitment-2026--4550","https://www.searchsarkarinaukri.com/districts/kerala-/-odisha-/-tamil-nadu","404","All government jobs in kerala / odisha / tamil nadu",""
"https://www.searchsarkarinaukri.com/jobs/irel-manager-legal-recruitment-2026--4550","https://www.searchsarkarinaukri.com/jobs-in-kerala-/-odisha-/-tamil-nadu","404","kerala / odisha / tamil nadu sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/irel-manager-security-recruitment-2026--4552","https://www.searchsarkarinaukri.com/districts/kerala","404","All government jobs in kerala",""
"https://www.searchsarkarinaukri.com/jobs/irel-senior-manager-security-recruitment-2026--4551","https://www.searchsarkarinaukri.com/districts/odisha","404","All government jobs in odisha",""
"https://www.searchsarkarinaukri.com/jobs/irel-manager-it-recruitment-2026--4546","https://www.searchsarkarinaukri.com/districts/odisha","404","All government jobs in odisha",""
"https://www.searchsarkarinaukri.com/jobs/irel-deputy-manager-geology-recruitment-2026--4548","https://www.searchsarkarinaukri.com/districts/kerala","404","All government jobs in kerala",""
"https://www.searchsarkarinaukri.com/jobs/irel-deputy-manager-it-recruitment-2026--4547","https://www.searchsarkarinaukri.com/districts/kerala-/-andhra-pradesh-/-tamil-nadu","404","All government jobs in kerala / andhra pradesh / tamil nadu",""
"https://www.searchsarkarinaukri.com/jobs/irel-deputy-manager-it-recruitment-2026--4547","https://www.searchsarkarinaukri.com/jobs-in-kerala-/-andhra-pradesh-/-tamil-nadu","404","kerala / andhra pradesh / tamil nadu sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/irel-deputy-manager-industrial-safety-recruitment-2026--4542","https://www.searchsarkarinaukri.com/districts/odisha","404","All government jobs in odisha",""
"https://www.searchsarkarinaukri.com/jobs/irel-assistant-manager-instrumentation-recruitment-2026--4544","https://www.searchsarkarinaukri.com/districts/odisha","404","All government jobs in odisha",""
"https://www.searchsarkarinaukri.com/jobs/irel-assistant-manager-industrial-safety-recruitment-2026--4543","https://www.searchsarkarinaukri.com/districts/kerala","404","All government jobs in kerala",""
"https://www.searchsarkarinaukri.com/jobs/irel-deputy-manager-commercial-purchase-recruitment-2026--4541","https://www.searchsarkarinaukri.com/districts/kerala-/-tamil-nadu","404","All government jobs in kerala / tamil nadu",""
"https://www.searchsarkarinaukri.com/jobs/irel-deputy-manager-commercial-purchase-recruitment-2026--4541","https://www.searchsarkarinaukri.com/jobs-in-kerala-/-tamil-nadu","404","kerala / tamil nadu sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/irel-assistant-manager-mining-recruitment-2026--4540","https://www.searchsarkarinaukri.com/districts/odisha-/-kerala","404","All government jobs in odisha / kerala",""
"https://www.searchsarkarinaukri.com/jobs/irel-assistant-manager-mining-recruitment-2026--4540","https://www.searchsarkarinaukri.com/jobs-in-odisha-/-kerala","404","odisha / kerala sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/irel-manager-mining-recruitment-2026--4521","https://www.searchsarkarinaukri.com/districts/kerala","404","All government jobs in kerala",""
"https://www.searchsarkarinaukri.com/jobs/irel-assistant-manager-chemical-recruitment-2026--4519","https://www.searchsarkarinaukri.com/districts/odisha-/-andhra-pradesh","404","All government jobs in odisha / andhra pradesh",""
"https://www.searchsarkarinaukri.com/jobs/irel-assistant-manager-chemical-recruitment-2026--4519","https://www.searchsarkarinaukri.com/jobs-in-odisha-/-andhra-pradesh","404","odisha / andhra pradesh sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/irel-deputy-manager-chemical-recruitment-2026--4518","https://www.searchsarkarinaukri.com/districts/kerala","404","All government jobs in kerala",""
"https://www.searchsarkarinaukri.com/jobs/irel-assistant-manager-electrical-recruitment-2026--4517","https://www.searchsarkarinaukri.com/districts/odisha","404","All government jobs in odisha",""
"https://www.searchsarkarinaukri.com/jobs/irel-deputy-manager-mineral-recruitment-2026--4520","https://www.searchsarkarinaukri.com/districts/kerala","404","All government jobs in kerala",""
"https://www.searchsarkarinaukri.com/jobs/irel-chief-manager-electrical-recruitment-2026--4515","https://www.searchsarkarinaukri.com/districts/odisha","404","All government jobs in odisha",""
"https://www.searchsarkarinaukri.com/jobs/irel-deputy-manager-electrical-recruitment-2026--4516","https://www.searchsarkarinaukri.com/districts/tamil-nadu-/-odisha","404","All government jobs in tamil nadu / odisha",""
"https://www.searchsarkarinaukri.com/jobs/irel-deputy-manager-electrical-recruitment-2026--4516","https://www.searchsarkarinaukri.com/jobs-in-tamil-nadu-/-odisha","404","tamil nadu / odisha sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/irel-deputy-manager-mechanical-recruitment-2026--4513","https://www.searchsarkarinaukri.com/districts/tamil-nadu","404","All government jobs in tamil nadu",""
"https://www.searchsarkarinaukri.com/jobs/irel-assistant-manager-mechanical-recruitment-2026--4514","https://www.searchsarkarinaukri.com/districts/kerala-/-odisha-/-aluva","404","All government jobs in kerala / odisha / aluva",""
"https://www.searchsarkarinaukri.com/jobs/irel-assistant-manager-mechanical-recruitment-2026--4514","https://www.searchsarkarinaukri.com/jobs-in-kerala-/-odisha-/-aluva","404","kerala / odisha / aluva sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/irel-chief-manager-mechanical-recruitment-2026--4512","https://www.searchsarkarinaukri.com/districts/odisha","404","All government jobs in odisha",""
"https://www.searchsarkarinaukri.com/jobs/cgssb-watch-room-operator-recruitment-2026--4511","https://www.searchsarkarinaukri.com/districts/chhattisgarh","404","All government jobs in chhattisgarh",""
"https://www.searchsarkarinaukri.com/jobs/cgssb-mechanic-recruitment-2026--4510","https://www.searchsarkarinaukri.com/districts/chhattisgarh","404","All government jobs in chhattisgarh",""
"https://www.searchsarkarinaukri.com/jobs/cgssb-store-keeper-recruitment-2026--4509","https://www.searchsarkarinaukri.com/districts/chhattisgarh","404","All government jobs in chhattisgarh",""
"https://www.searchsarkarinaukri.com/jobs/dgqa-technician-skilled-recruitment-2026--4506","https://www.searchsarkarinaukri.com/districts/secunderabad-and-bengaluru","404","All government jobs in secunderabad and bengaluru",""
"https://www.searchsarkarinaukri.com/jobs/dgqa-technician-skilled-recruitment-2026--4506","https://www.searchsarkarinaukri.com/jobs-in-secunderabad-and-bengaluru","404","secunderabad and bengaluru sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/cgssb-vahan-chalak-cum-operator-recruitment-2026--4508","https://www.searchsarkarinaukri.com/districts/chhattisgarh","404","All government jobs in chhattisgarh",""
"https://www.searchsarkarinaukri.com/jobs/cgssb-vahan-chalak-driver-recruitment-2026--4507","https://www.searchsarkarinaukri.com/districts/chhattisgarh","404","All government jobs in chhattisgarh",""
"https://www.searchsarkarinaukri.com/jobs/dgqa-technician-semi-skilled-recruitment-2026--4505","https://www.searchsarkarinaukri.com/districts/secunderabad","404","All government jobs in secunderabad",""
"https://www.searchsarkarinaukri.com/jobs/dgqa-technician-semi-skilled-recruitment-2026--4505","https://www.searchsarkarinaukri.com/jobs-in-secunderabad","404","secunderabad sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/indbank-dealer-recruitment-2026--4503","https://www.searchsarkarinaukri.com/districts/ahmedabad","404","All government jobs in ahmedabad",""
"https://www.searchsarkarinaukri.com/jobs/sccl-diploma-apprentice-recruitment-2026--4501","https://www.searchsarkarinaukri.com/districts/sccl-areas/regions-as-allotted","404","All government jobs in sccl areas/regions as allotted",""
"https://www.searchsarkarinaukri.com/jobs/sccl-diploma-apprentice-recruitment-2026--4501","https://www.searchsarkarinaukri.com/jobs-in-sccl-areas/regions-as-allotted","404","sccl areas/regions as allotted sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/icds-maharashtra-mukhyasevika-supervisor-recruitment-2026--4504","https://www.searchsarkarinaukri.com/districts/maharashtra","404","All government jobs in maharashtra",""
"https://www.searchsarkarinaukri.com/jobs/indbank-relationship-manager-recruitment-2026--4502","https://www.searchsarkarinaukri.com/districts/ahmedabad","404","All government jobs in ahmedabad",""
"https://www.searchsarkarinaukri.com/jobs/sccl-non-engineering-graduate-apprentice-recruitment-2026--4500","https://www.searchsarkarinaukri.com/districts/sccl-areas/regions-as-allotted","404","All government jobs in sccl areas/regions as allotted",""
"https://www.searchsarkarinaukri.com/jobs/sccl-non-engineering-graduate-apprentice-recruitment-2026--4500","https://www.searchsarkarinaukri.com/jobs-in-sccl-areas/regions-as-allotted","404","sccl areas/regions as allotted sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/sccl-engineering-graduate-apprentice-recruitment-2026--4499","https://www.searchsarkarinaukri.com/districts/sccl-areas/regions-as-allotted","404","All government jobs in sccl areas/regions as allotted",""
"https://www.searchsarkarinaukri.com/jobs/sccl-engineering-graduate-apprentice-recruitment-2026--4499","https://www.searchsarkarinaukri.com/jobs-in-sccl-areas/regions-as-allotted","404","sccl areas/regions as allotted sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/itbp-specialist-medical-officer-recruitment-2026--4497","https://www.searchsarkarinaukri.com/districts/across-india-/-abroad","404","All government jobs in across india / abroad",""
"https://www.searchsarkarinaukri.com/jobs/itbp-specialist-medical-officer-recruitment-2026--4497","https://www.searchsarkarinaukri.com/jobs-in-across-india-/-abroad","404","across india / abroad sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/itbp-medical-officer-recruitment-2026--4498","https://www.searchsarkarinaukri.com/districts/across-india-/-abroad","404","All government jobs in across india / abroad",""
"https://www.searchsarkarinaukri.com/jobs/itbp-medical-officer-recruitment-2026--4498","https://www.searchsarkarinaukri.com/jobs-in-across-india-/-abroad","404","across india / abroad sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/itbp-super-specialist-medical-officer-recruitment-2026--4496","https://www.searchsarkarinaukri.com/districts/across-india-/-abroad","404","All government jobs in across india / abroad",""
"https://www.searchsarkarinaukri.com/jobs/itbp-super-specialist-medical-officer-recruitment-2026--4496","https://www.searchsarkarinaukri.com/jobs-in-across-india-/-abroad","404","across india / abroad sarkari naukri",""
