"name","ua","url","status","location","ttfb_ms","total_ms","bytes","content_type","content_encoding","cache_control","x_robots_tag","x_prerender","hsts","csp","x_content_type_options","x_frame_options","referrer_policy","server","alt_svc"
"legacy-assessment","standard","https://www.searchsarkarinaukri.com/assessment","200","","16","18","18706","text/html; charset=utf-8","gzip","","","","max-age=31536000; includeSubDomains","","nosniff","SAMEORIGIN","strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"legacy-assessment","googlebot","https://www.searchsarkarinaukri.com/assessment","404","","19","20","5398","text/html; charset=utf-8","gzip","public, max-age=600, s-maxage=600, stale-while-revalidate=86400","noindex, follow","1","max-age=31536000; includeSubDomains, max-age=31536000; includeSubDomains","default-src 'self';base-uri 'self';font-src 'self' https: data:;form-action 'self';frame-ancestors 'self';frame-src 'self' https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;img-src 'self' data: https:;object-src 'none';script-src 'self' https://pagead2.googlesyndication.com https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;script-src-attr 'none';style-src 'self' https: 'unsafe-inline';upgrade-insecure-requests","nosniff, nosniff","SAMEORIGIN, SAMEORIGIN","no-referrer, strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"legacy-assessment","googlebot-desktop","https://www.searchsarkarinaukri.com/assessment","404","","18","19","5398","text/html; charset=utf-8","gzip","public, max-age=600, s-maxage=600, stale-while-revalidate=86400","noindex, follow","1","max-age=31536000; includeSubDomains, max-age=31536000; includeSubDomains","default-src 'self';base-uri 'self';font-src 'self' https: data:;form-action 'self';frame-ancestors 'self';frame-src 'self' https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;img-src 'self' data: https:;object-src 'none';script-src 'self' https://pagead2.googlesyndication.com https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;script-src-attr 'none';style-src 'self' https: 'unsafe-inline';upgrade-insecure-requests","nosniff, nosniff","SAMEORIGIN, SAMEORIGIN","no-referrer, strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"unknown-route","standard","https://www.searchsarkarinaukri.com/definitely-not-a-real-page-audit-20260825","200","","16","17","18706","text/html; charset=utf-8","gzip","","","","max-age=31536000; includeSubDomains","","nosniff","SAMEORIGIN","strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"unknown-route","googlebot","https://www.searchsarkarinaukri.com/definitely-not-a-real-page-audit-20260825","404","","19","19","5553","text/html; charset=utf-8","gzip","public, max-age=600, s-maxage=600, stale-while-revalidate=86400","noindex, follow","1","max-age=31536000; includeSubDomains, max-age=31536000; includeSubDomains","default-src 'self';base-uri 'self';font-src 'self' https: data:;form-action 'self';frame-ancestors 'self';frame-src 'self' https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;img-src 'self' data: https:;object-src 'none';script-src 'self' https://pagead2.googlesyndication.com https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;script-src-attr 'none';style-src 'self' https: 'unsafe-inline';upgrade-insecure-requests","nosniff, nosniff","SAMEORIGIN, SAMEORIGIN","no-referrer, strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"unknown-route","googlebot-desktop","https://www.searchsarkarinaukri.com/definitely-not-a-real-page-audit-20260825","404","","30","30","5553","text/html; charset=utf-8","gzip","public, max-age=600, s-maxage=600, stale-while-revalidate=86400","noindex, follow","1","max-age=31536000; includeSubDomains, max-age=31536000; includeSubDomains","default-src 'self';base-uri 'self';font-src 'self' https: data:;form-action 'self';frame-ancestors 'self';frame-src 'self' https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;img-src 'self' data: https:;object-src 'none';script-src 'self' https://pagead2.googlesyndication.com https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;script-src-attr 'none';style-src 'self' https: 'unsafe-inline';upgrade-insecure-requests","nosniff, nosniff","SAMEORIGIN, SAMEORIGIN","no-referrer, strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"robots","standard","https://www.searchsarkarinaukri.com/robots.txt","200","","18","18","308","text/plain; charset=utf-8","gzip","","","","max-age=31536000; includeSubDomains, max-age=31536000; includeSubDomains","default-src 'self';base-uri 'self';font-src 'self' https: data:;form-action 'self';frame-ancestors 'self';frame-src 'self' https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;img-src 'self' data: https:;object-src 'none';script-src 'self' https://pagead2.googlesyndication.com https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;script-src-attr 'none';style-src 'self' https: 'unsafe-inline';upgrade-insecure-requests","nosniff, nosniff","SAMEORIGIN, SAMEORIGIN","no-referrer, strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"robots","googlebot","https://www.searchsarkarinaukri.com/robots.txt","200","","21","21","308","text/plain; charset=utf-8","gzip","","","","max-age=31536000; includeSubDomains, max-age=31536000; includeSubDomains","default-src 'self';base-uri 'self';font-src 'self' https: data:;form-action 'self';frame-ancestors 'self';frame-src 'self' https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;img-src 'self' data: https:;object-src 'none';script-src 'self' https://pagead2.googlesyndication.com https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;script-src-attr 'none';style-src 'self' https: 'unsafe-inline';upgrade-insecure-requests","nosniff, nosniff","SAMEORIGIN, SAMEORIGIN","no-referrer, strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"robots","googlebot-desktop","https://www.searchsarkarinaukri.com/robots.txt","200","","17","18","308","text/plain; charset=utf-8","gzip","","","","max-age=31536000; includeSubDomains, max-age=31536000; includeSubDomains","default-src 'self';base-uri 'self';font-src 'self' https: data:;form-action 'self';frame-ancestors 'self';frame-src 'self' https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;img-src 'self' data: https:;object-src 'none';script-src 'self' https://pagead2.googlesyndication.com https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;script-src-attr 'none';style-src 'self' https: 'unsafe-inline';upgrade-insecure-requests","nosniff, nosniff","SAMEORIGIN, SAMEORIGIN","no-referrer, strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"sitemap","standard","https://www.searchsarkarinaukri.com/sitemap.xml","200","","29","29","1104","application/xml; charset=utf-8","gzip","","","","max-age=31536000; includeSubDomains, max-age=31536000; includeSubDomains","default-src 'self';base-uri 'self';font-src 'self' https: data:;form-action 'self';frame-ancestors 'self';frame-src 'self' https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;img-src 'self' data: https:;object-src 'none';script-src 'self' https://pagead2.googlesyndication.com https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;script-src-attr 'none';style-src 'self' https: 'unsafe-inline';upgrade-insecure-requests","nosniff, nosniff","SAMEORIGIN, SAMEORIGIN","no-referrer, strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
